,ParcelId,OwnerName,Address,City,State,Zip
701,095-02-01-003-000,CURRENT RESIDENT,WILD DOGWOOD LANE,Fairfield,SC,
702,095-03-01-033-000,CURRENT RESIDENT,WATEREE ESTATES,Fairfield,SC,
703,095-03-01-036-000,CURRENT RESIDENT,WATEREE ESTATES,Fairfield,SC,
704,113-01-01-010-000,CURRENT RESIDENT,WATEREE ESTATES,Fairfield,SC,
705,107-03-05-012-000,CURRENT RESIDENT,71 OLD CHESTER RD (3RD HOUSE & LOT),Fairfield,SC,
706,107-03-05-013-000,CURRENT RESIDENT,59 OLD CHESTER RD (HOLLEY`S PLACE LOT),Fairfield,SC,
707,026-02-01-017-000,CURRENT RESIDENT,279 PEAY RIDGE RD,Fairfield,SC,
708,026-02-01-014-000,CURRENT RESIDENT,131 PEAY RIDGE RD,Fairfield,SC,
709,026-02-05-013-000,CURRENT RESIDENT,374 PEAY RIDGE ROAD,Fairfield,SC,
710,026-04-01-018-000,CURRENT RESIDENT,OFF PEAY RIDGE RD RD,Fairfield,SC,
711,026-04-01-025-000,CURRENT RESIDENT,BIG ROCK TRACT,Fairfield,SC,
712,026-04-02-006-000,CURRENT RESIDENT,GIBSON END RD RD,Fairfield,SC,
713,026-04-02-004-000,CURRENT RESIDENT,665 GIBSON END ROAD,Fairfield,SC,
714,026-04-02-002-000,CURRENT RESIDENT,703 GIBSON END ROAD,Fairfield,SC,
715,026-04-02-001-000,CURRENT RESIDENT,723 GIBSON END ROAD,Fairfield,SC,
716,039-00-00-081-000,CURRENT RESIDENT,1825 FAIRFIELD HILL RD,WS-Wateree,SC,
717,040-00-00-004-000,CURRENT RESIDENT,4000FT NW OF INT S-20-301& S C 901,WS-Wateree,SC,
718,023-00-00-025-000,CURRENT RESIDENT,9250FT N INT S-20-32 & HWY 901 20,WS-Wateree,SC,
719,023-00-00-026-000,CURRENT RESIDENT,OFF HWY 901,WS-Wateree,SC,
720,041-00-00-002-000,CURRENT RESIDENT,1649` N INT SC-200 & I-77 266`E CL,WS-Wateree,SC,
721,023-00-00-033-000,CURRENT RESIDENT,STROVERS CROSSROAD HWY 901,WS-Wateree,SC,
722,041-00-00-011-000,CURRENT RESIDENT,12805 STATE HWY 200,WS-Wateree,SC,
723,041-00-00-015-000,CURRENT RESIDENT,12847 STATE HWY 200 (IN SERVICE ARMY),WS-Wateree,SC,
724,041-00-00-014-000,CURRENT RESIDENT,44 CAUTION DRIVE,WS-Wateree,SC,
725,041-00-00-013-000,CURRENT RESIDENT,58 CAUTION DR,WS-Wateree,SC,
726,041-00-00-012-000,CURRENT RESIDENT,68 CAUTION DR,WS-Wateree,SC,
727,114-02-04-015-000,CURRENT RESIDENT,559 WESTSHORE DR SEC 14 LOT 111,Fairfield,SC,
728,114-02-04-016-000,CURRENT RESIDENT,627 WESTSHORE DR SEC 14 LOT 110,Fairfield,SC,
729,114-02-04-017-000,CURRENT RESIDENT,639 WESTSHORE DR SEC 14 LOT 109,Fairfield,SC,
730,114-02-04-018-000,CURRENT RESIDENT,657 WESTSHORE DR SEC 14 LOT 108,Fairfield,SC,
731,114-02-04-019-000,CURRENT RESIDENT,681 WESTSHORE DR SEC 14 LOT 10,Fairfield,SC,
732,145-01-17-010-000,CURRENT RESIDENT,142 CHATHAM CR BLOCK A LOT 1,WS-Winnsboro,SC,
733,145-01-17-009-000,CURRENT RESIDENT,144 CHATHAM CIRCLE,WS-Winnsboro,SC,
734,145-01-17-008-000,CURRENT RESIDENT,146 CHATHAM CIR,WS-Winnsboro,SC,
735,145-01-17-007-000,CURRENT RESIDENT,148 CHATHAM CR BLOCK A LOT 1,WS-Winnsboro,SC,
736,145-01-17-006-000,CURRENT RESIDENT,150 CHATHAM CIR,WS-Winnsboro,SC,
737,145-01-17-005-000,CURRENT RESIDENT,152 CHATHAM CR BLOCK A LOT 2,WS-Winnsboro,SC,
738,145-01-17-004-000,CURRENT RESIDENT,154 CHATHAM CR BLOCK A LOT 2,WS-Winnsboro,SC,
739,145-01-20-002-000,CURRENT RESIDENT,226 CHATHAM CIRCLE,WS-Winnsboro,SC,
740,145-01-20-003-000,CURRENT RESIDENT,CHATHAM CR BLOCK A LOT 2,WS-Winnsboro,SC,
741,145-01-20-004-000,CURRENT RESIDENT,224 CHATHAM CR BLOCK A LOT 2,WS-Winnsboro,SC,
742,145-01-20-005-000,CURRENT RESIDENT,222 CHATHAM CR BLOCK A LOT 2,WS-Winnsboro,SC,
743,145-01-20-006-000,CURRENT RESIDENT,220 CHATHAM CR BLOCK A LOT 2,WS-Winnsboro,SC,
744,145-01-20-007-000,CURRENT RESIDENT,218 CHATHAM CR BLOCK A LOT 3,WS-Winnsboro,SC,
745,145-01-20-008-000,CURRENT RESIDENT,216 CHATHAM CIR,WS-Winnsboro,SC,
746,145-01-20-009-000,CURRENT RESIDENT,214 CHATHAM CR BLOCK A LOT 3,WS-Winnsboro,SC,
747,145-01-20-010-000,CURRENT RESIDENT,212 CHATHAM CR BLOCK A LOT 33,WS-Winnsboro,SC,
748,145-01-20-011-000,CURRENT RESIDENT,210 CHATHAM CR BLOCK A LOT 34,WS-Winnsboro,SC,
749,145-01-20-012-000,CURRENT RESIDENT,208 CHATHAM CR BLOCK A LOT 3,WS-Winnsboro,SC,
750,145-01-20-013-000,CURRENT RESIDENT,206 CHATHAM CR BLOCK A LOT 3,WS-Winnsboro,SC,
751,145-01-20-014-000,CURRENT RESIDENT,204 CHATHAM CR BLOCK A LOT 3,WS-Winnsboro,SC,
752,145-01-20-015-000,CURRENT RESIDENT,CHATHAM CR BLOCK A LOT 3,WS-Winnsboro,SC,
753,087-02-03-016-000,CURRENT RESIDENT,198 ROYAL HILLS LN,WS-Jackson,SC,
754,087-02-03-004-000,CURRENT RESIDENT,240 ROYAL HILLS LN,WS-Jackson,SC,
755,087-02-03-003-000,CURRENT RESIDENT,LOT 15 BLK A ROYAL HILLS CIRCLE,WS-Jackson,SC,
756,087-02-03-002-000,CURRENT RESIDENT,278 ROYAL HILL CR CIR,WS-Jackson,SC,
757,087-02-03-001-000,CURRENT RESIDENT,5428 OLD AIRPORT ROAD,WS-Jackson,SC,
758,087-02-03-005-000,CURRENT RESIDENT,5442 OLD AIRPORT ROAD,WS-Jackson,SC,
759,087-02-03-006-000,CURRENT RESIDENT,5456 OLD AIRPORT RD,WS-Jackson,SC,
760,087-02-03-009-000,CURRENT RESIDENT,5516 OLD AIRPORT ROAD,WS-Jackson,SC,
761,087-02-03-010-000,CURRENT RESIDENT,OLD AIRPORT ROAD,WS-Jackson,SC,
762,087-02-03-011-000,CURRENT RESIDENT,5530 OLD AIRPORT ROAD,WS-Jackson,SC,
763,087-02-03-012-000,CURRENT RESIDENT,5552 OLD AIRPORT ROAD,WS-Jackson,SC,
764,115-03-01-023-000,CURRENT RESIDENT,1069 KINGFISHER DRIVE SEC 14 LOT 25,Fairfield,SC,
765,115-03-01-024-000,CURRENT RESIDENT,1071 KINGFISHER DRIVE SEC 14 LOT 24,Fairfield,SC,
766,115-03-01-026-000,CURRENT RESIDENT,1111 KINGFISHER DRIVE SEC 14 LOT 22,Fairfield,SC,
767,115-03-02-019-000,CURRENT RESIDENT,633 ROCKY POINT CR SEC 11 LOT 27,Fairfield,SC,
768,029-00-00-016-000,CURRENT RESIDENT,914 SHELTON RD,Fairfield,SC,
769,029-00-00-017-000,CURRENT RESIDENT,728 SHELTON RD,Fairfield,SC,
770,029-00-00-018-000,CURRENT RESIDENT,2000FT S INT HWY 215 & 33HWY 215 E&,Fairfield,SC,
771,065-00-00-036-000,CURRENT RESIDENT,1439 ASHFORD FERRY ROAD,Fairfield,SC,
772,066-00-00-027-000,CURRENT RESIDENT,HARDEN ROAD,Fairfield,SC,
773,066-00-00-026-000,CURRENT RESIDENT,INT S-20-204 & S-20-15 E 5900FT E 9,Fairfield,SC,
774,066-00-00-024-000,CURRENT RESIDENT,2018 HARDEN RD,Fairfield,SC,
775,065-00-00-100-000,CURRENT RESIDENT,2448 STATE HWY 215,Fairfield,SC,
776,065-00-00-098-000,CURRENT RESIDENT,2538 STATE HWY 215 NORTH,Fairfield,SC,
777,065-00-00-099-000,CURRENT RESIDENT,2468 ST HWY 215 N,Fairfield,SC,
778,065-00-00-097-000,CURRENT RESIDENT,2486 STATE HWY 215 NORTH,Fairfield,SC,
779,066-00-00-009-000,CURRENT RESIDENT,1057 ASHFORD FERRY RD T E BOLICK TRACT,Fairfield,SC,
780,066-00-00-010-000,CURRENT RESIDENT,OFF ASHFORD FERRY RD RD,Fairfield,SC,
781,066-00-00-025-000,CURRENT RESIDENT,1958 HARDEN RD,Fairfield,SC,
782,065-00-00-114-000,CURRENT RESIDENT,319 ASHFORD FERRY ROAD,Fairfield,SC,
783,065-00-00-120-000,CURRENT RESIDENT,631 ASHFORD FERRY ROAD,Fairfield,SC,
784,020-00-00-042-000,CURRENT RESIDENT,3796 BULL RUN RD,WS-Wateree,SC,
785,020-00-00-033-000,CURRENT RESIDENT,BULL RUN ROAD,WS-Wateree,SC,
786,020-00-00-031-000,CURRENT RESIDENT,5800FT S INT S-20-32 & BULL RUN R,WS-Wateree,SC,
787,020-00-00-032-000,CURRENT RESIDENT,5500FT S INT S-20-32 & BULL RUN R,WS-Wateree,SC,
788,020-00-00-034-000,CURRENT RESIDENT,EAST OF BULL RUN RD RD,WS-Wateree,SC,
789,021-00-00-011-000,CURRENT RESIDENT,27 & 111 HERITAGE ROAD,Fairfield,SC,
790,021-00-00-012-000,CURRENT RESIDENT,TRACT B-MILLS PARTITION,Fairfield,SC,
791,021-00-00-008-000,CURRENT RESIDENT,TRACT C-MILLS PARTITION,WS-Wateree,SC,
792,021-00-00-005-000,CURRENT RESIDENT,TRACT D-2-MILLS PARTITION,Fairfield,SC,
793,021-00-00-006-000,CURRENT RESIDENT,TRACT E-1-MILLS PARTITION,Fairfield,SC,
794,021-00-00-007-000,CURRENT RESIDENT,TRACT E-2-MILLS PARTITION,WS-Wateree,SC,
795,021-00-00-004-000,CURRENT RESIDENT,TRACT F-MILLS PARTITION,WS-Wateree,SC,
796,021-00-00-010-000,CURRENT RESIDENT,218 HERITAGE RD,WS-Wateree,SC,
797,021-00-00-018-000,CURRENT RESIDENT,HERITAGE RD,Fairfield,SC,
798,020-00-00-045-000,CURRENT RESIDENT,BULL RUN RD,WS-Wateree,SC,
799,021-00-00-017-000,CURRENT RESIDENT,M 304 BROWN,Fairfield,SC,
800,021-00-00-021-000,CURRENT RESIDENT,1033 HERITAGE RD,Fairfield,SC,
801,022-00-00-003-000,CURRENT RESIDENT,1644 HERITAGE ROAD,Fairfield,SC,
802,022-00-00-031-000,CURRENT RESIDENT,1497 HERITAGE ROAD,WS-Wateree,SC,
803,022-00-00-006-000,CURRENT RESIDENT,3900FT W INT HWYS 32 & 52N SIDE OF,Fairfield,SC,
804,022-00-00-004-000,CURRENT RESIDENT,6100FT W INT HWYS 32 & 52N DIRT RD,Fairfield,SC,
805,022-00-00-022-000,CURRENT RESIDENT,NW INT S-20-52 & S-20-32,Fairfield,SC,
806,022-00-00-007-000,CURRENT RESIDENT,OFF HERITAGE RD/CHESTER CO LINE,Fairfield,SC,
807,022-00-00-008-000,CURRENT RESIDENT,HIGGINS PLACE,Fairfield,SC,
808,022-00-00-010-000,CURRENT RESIDENT,341 HAVEN DRIVE,Fairfield,SC,
809,022-00-00-012-000,CURRENT RESIDENT,N DIRT DR AT INT HWYS 32 & 52 N PAS,Fairfield,SC,
810,022-00-00-013-000,CURRENT RESIDENT,335 HAVEN DRIVE,Fairfield,SC,
811,114-02-02-032-000,CURRENT RESIDENT,413 WINDY COVE LANE SEC 17 LOT 46,Fairfield,SC,
812,114-02-02-031-000,CURRENT RESIDENT,395 WINDY COVE LANE SEC 17 LOT 47,Fairfield,SC,
813,114-02-02-030-000,CURRENT RESIDENT,377 WINDY COVE LANE SEC 17 LOT 48,Fairfield,SC,
814,114-02-02-029-000,CURRENT RESIDENT,363 WINDY COVE LANE SEC 17 LOT 49,Fairfield,SC,
815,114-02-02-028-000,CURRENT RESIDENT,353 WINDY COVE LANE SEC 17 LOT 50,Fairfield,SC,
816,114-02-02-027-000,CURRENT RESIDENT,327 WINDY COVE LANE,Fairfield,SC,
817,114-02-02-026-000,CURRENT RESIDENT,313 WINDY COVE LANE SEC 17 LOT 5,Fairfield,SC,
818,114-02-02-025-000,CURRENT RESIDENT,259 WINDY COVE LANE SEC 17 LOT 53,Fairfield,SC,
819,114-02-02-024-000,CURRENT RESIDENT,219 WINDY COVE LANE SEC 17 LOT 54,Fairfield,SC,
820,114-02-02-023-000,CURRENT RESIDENT,WINDY COVE LANE,Fairfield,SC,
821,114-02-02-022-000,CURRENT RESIDENT,177 WINDY COVE LANE SEC 17 LOT 56,Fairfield,SC,
822,114-02-03-001-000,CURRENT RESIDENT,3417 DEER RUN ROAD SEC 17 LOT 7,Fairfield,SC,
823,114-02-03-002-000,CURRENT RESIDENT,3397 DEER RUN ROAD SEC 17 LOT 8,Fairfield,SC,
824,114-02-03-003-000,CURRENT RESIDENT,3355 DEER RUN ROAD SEC 17 LOT 9,Fairfield,SC,
825,114-02-03-004-000,CURRENT RESIDENT,3333 DEER RUN RD SEC 17 LOT 10,Fairfield,SC,
826,114-02-03-005-000,CURRENT RESIDENT,3311 DEER RUN ROAD SEC 17 LOT 11,Fairfield,SC,
827,077-01-00-067-000,CURRENT RESIDENT,1688 WATEREE RD SEC 26 LOT 1,Fairfield,SC,
828,077-01-00-063-000,CURRENT RESIDENT,95 INLET HARBOUR CT S-26;L-15 & LOT 4,Fairfield,SC,
829,077-02-00-039-000,CURRENT RESIDENT,1613 WATEREE RD SEC 23 LOT 1,Fairfield,SC,
830,077-02-00-010-000,CURRENT RESIDENT,23 SHANGRI-LA DR & 25 SEC 22 LOT,Fairfield,SC,
831,077-02-00-009-000,CURRENT RESIDENT,1518 WATEREE RD SEC 26 LOT 129,Fairfield,SC,
832,077-02-00-012-000,CURRENT RESIDENT,309 & 307 SHANGRI-LA DR SEC 22,Fairfield,SC,
833,077-02-00-013-000,CURRENT RESIDENT,371 SHANGRI-LA DR SEC 22 LOT,Fairfield,SC,
834,077-02-00-011-000,CURRENT RESIDENT,199 SHANGRI LA DR SEC 22 LOT 1,Fairfield,SC,
835,077-01-00-036-000,CURRENT RESIDENT,2669 GREAT NORTH ROAD SEC 23 LOT 28,Fairfield,SC,
836,077-01-00-035-000,CURRENT RESIDENT,2627 GREAT NORTH ROAD SEC 23 LOT 29,Fairfield,SC,
837,077-01-00-034-000,CURRENT RESIDENT,2597 GREAT NORTH ROAD SEC 23 LOT 30,Fairfield,SC,
838,077-01-00-033-000,CURRENT RESIDENT,2559 GREAT NORTH ROAD SEC 23 LOT 31,Fairfield,SC,
839,077-01-00-032-000,CURRENT RESIDENT,2557 GREAT NORTH ROAD SEC 23 LOT 32,Fairfield,SC,
840,077-01-00-031-000,CURRENT RESIDENT,2503 GREAT NORTH ROAD SEC 23 LOT 32,Fairfield,SC,
841,077-01-00-030-000,CURRENT RESIDENT,2457 GREAT NORTH RD SEC 23 LOT 34,Fairfield,SC,
842,077-01-00-029-000,CURRENT RESIDENT,2427 GREAT NORTH ROAD SEC 23 LOT 35,Fairfield,SC,
843,077-01-00-028-000,CURRENT RESIDENT,2391 GREAT NORTH ROAD SEC 23 LOT 36,Fairfield,SC,
844,077-01-00-027-000,CURRENT RESIDENT,2321 GREAT NORTH ROAD SEC 23 LOT 37,Fairfield,SC,
845,077-01-00-026-000,CURRENT RESIDENT,2271 GREAT NORTH ROAD SEC 23 LOT 38,Fairfield,SC,
846,077-01-00-025-000,CURRENT RESIDENT,2265 GREAT NORTH ROAD SEC 23 LOT 39,Fairfield,SC,
847,077-01-00-024-000,CURRENT RESIDENT,2247 GREAT NORTH ROAD SEC 23 LOT 40,Fairfield,SC,
848,077-01-00-023-000,CURRENT RESIDENT,2227 GREAT NORTH ROAD SEC 23 LOT 41,Fairfield,SC,
849,077-01-00-022-000,CURRENT RESIDENT,2217 GREAT NORTH ROAD SEC 23 LOT 42,Fairfield,SC,
850,077-01-00-017-000,CURRENT RESIDENT,2165 GREAT NORTH ROAD SEC 23 LOT 47,Fairfield,SC,
851,077-02-00-042-000,CURRENT RESIDENT,VALLEY 1 DR LOT 7A,Fairfield,SC,
852,077-01-00-057-000,CURRENT RESIDENT,VALLEY 1 DR LOT 11A,Fairfield,SC,
853,077-02-00-041-000,CURRENT RESIDENT,80 VALLEY 1 DR LOT 5,Fairfield,SC,
854,107-03-10-003-000,CURRENT RESIDENT,713 PEAYS FERRY RD,Fairfield,SC,
855,108-00-00-005-000,CURRENT RESIDENT,2305 STATE HWY 200,Fairfield,SC,
856,108-00-00-014-000,CURRENT RESIDENT,2520 STATE HWY 200,Fairfield,SC,
857,108-00-00-013-000,CURRENT RESIDENT,133 OLD RIVER ROAD,Fairfield,SC,
858,108-00-00-023-000,CURRENT RESIDENT,2254 STATE HWY 200,Fairfield,SC,
859,108-00-00-024-000,CURRENT RESIDENT,70 EAGLE DRIVE,Fairfield,SC,
860,107-00-00-034-000,CURRENT RESIDENT,129 SOUTH SHELL RD RD,Fairfield,SC,
861,108-00-00-003-000,CURRENT RESIDENT,N OF SC-200,Fairfield,SC,
862,108-00-00-015-000,CURRENT RESIDENT,135 OLD RIVER ROAD,Fairfield,SC,
863,108-00-00-016-000,CURRENT RESIDENT,800FT E INT 200 & S-20-41 N,Fairfield,SC,
864,108-00-00-017-000,CURRENT RESIDENT,191 OLD RIVER RD RD,Fairfield,SC,
865,108-00-00-021-000,CURRENT RESIDENT,2196 STATE HWY 200,Fairfield,SC,
866,115-02-02-001-000,CURRENT RESIDENT,1785 ROCKBRIDGE RD SEC 11 LOT 98,Fairfield,SC,
867,115-02-02-002-000,CURRENT RESIDENT,1795 ROCKBRIDGE RD SEC 11 LOT 99,Fairfield,SC,
868,115-02-02-003-000,CURRENT RESIDENT,1837 ROCKBRIDGE RD,Fairfield,SC,
870,115-02-02-004-000,CURRENT RESIDENT,1851 ROCKBRIDGE RD SEC 11 LOT 102,Fairfield,SC,
871,115-02-02-005-000,CURRENT RESIDENT,1883 ROCKBRIDGE RD SEC 11 LOT 104,Fairfield,SC,
872,115-02-02-006-000,CURRENT RESIDENT,1895 ROCKBRIDGE RD SEC 11 LOT 105,Fairfield,SC,
873,115-02-02-007-000,CURRENT RESIDENT,204 LITTLE POINT LANE SEC 11 LOT 108,Fairfield,SC,
874,115-02-02-009-000,CURRENT RESIDENT,154 LITTLE POINT LN SEC 11 LOT 109,Fairfield,SC,
875,115-02-02-013-000,CURRENT RESIDENT,1927 ROCKBRIDGE RD SEC 11 LOT 114,Fairfield,SC,
876,115-02-02-014-000,CURRENT RESIDENT,1995 ROCKBRIDGE RD,Fairfield,SC,
877,115-02-02-015-000,CURRENT RESIDENT,2005 ROCKBRIDGE RD SEC 11 LOT 117,Fairfield,SC,
878,115-02-02-016-000,CURRENT RESIDENT,2035 ROCKBRIDGE RD SEC 11 LOT 118,Fairfield,SC,
879,115-02-02-017-000,CURRENT RESIDENT,2063 ROCKBRIDGE RD SEC 11 LOT 119,Fairfield,SC,
880,115-02-02-011-000,CURRENT RESIDENT,150 LITTLE POINT LANE SEC 11 LOT 111,Fairfield,SC,
881,115-02-02-012-000,CURRENT RESIDENT,60 LITTLE POINT LANE SEC 11 LOT 107,Fairfield,SC,
882,115-02-02-008-000,CURRENT RESIDENT,200 LITTLE POINT LANE SEC 11 LOT 108,Fairfield,SC,
883,115-02-02-010-000,CURRENT RESIDENT,152 LITTLE POINTE LANE SEC 11 LOT 110,Fairfield,SC,
884,115-02-02-022-000,CURRENT RESIDENT,2153 ROCKBRIDGE RD SEC 11 LOT 147,Fairfield,SC,
885,115-02-02-023-000,CURRENT RESIDENT,2167 ROCKBRIDGE RD SEC 11 LOT 148,Fairfield,SC,
886,126-03-08-005-000,CURRENT RESIDENT,407 GARDEN ST,WS-Winnsboro,SC,
887,126-03-08-014-000,CURRENT RESIDENT,419 SOUTH GARDEN STREET,WS-Winnsboro,SC,
888,126-03-08-010-000,CURRENT RESIDENT,415 GARDEN ST,WS-Winnsboro,SC,
889,126-03-08-013-000,CURRENT RESIDENT,419 1/2 SOUTH GARDEN STREET,WS-Winnsboro,SC,
890,126-03-08-012-000,CURRENT RESIDENT,420 FRAZIER STREET,WS-Winnsboro,SC,
891,126-03-03-034-000,CURRENT RESIDENT,LOT-FRAZIER ST ST,WS-Winnsboro,SC,
892,126-03-03-033-000,CURRENT RESIDENT,435 FRAZIER ST,WS-Winnsboro,SC,
893,126-03-03-032-000,CURRENT RESIDENT,421 FRAZIER ST,WS-Winnsboro,SC,
894,126-03-03-031-000,CURRENT RESIDENT,417 FRAZIER ST,WS-Winnsboro,SC,
895,126-03-03-030-000,CURRENT RESIDENT,421-1/2 FRAZIER ST ST,WS-Winnsboro,SC,
896,126-03-03-029-000,CURRENT RESIDENT,419 FRAZIER STREET,WS-Winnsboro,SC,
897,126-03-03-028-000,CURRENT RESIDENT,350` W INT ALLEY & FRAZIER ST ST,WS-Winnsboro,SC,
898,126-03-03-027-000,CURRENT RESIDENT,FRAZIER ST,WS-Winnsboro,SC,
899,043-00-00-056-000,CURRENT RESIDENT,INT S-20-20 & SC 21 S 2350FT E O,Fairfield,SC,
900,043-00-00-020-000,CURRENT RESIDENT,600FT N OF INT S-20-20 & HWY 21,Fairfield,SC,
901,042-00-00-025-000,CURRENT RESIDENT,1900FT N INT S-20-55 & S-20-20 W,WS-Wateree,SC,
902,042-00-00-026-000,CURRENT RESIDENT,6073 WATEREE ROAD,WS-Wateree,SC,
903,042-00-00-027-000,CURRENT RESIDENT,800FT N OF INT S-20-55 & S-20-20 W,WS-Wateree,SC,
904,042-00-00-036-000,CURRENT RESIDENT,6679 CAMP WELFARE ROAD,WS-Wateree,SC,
905,043-00-00-059-000,CURRENT RESIDENT,14716 US HWY 21 NORTH,Fairfield,SC,
906,026-02-01-001-000,CURRENT RESIDENT,16663 US HWY 21 NORTH,Fairfield,SC,
907,026-02-01-003-000,CURRENT RESIDENT,16462 STATE HWY 200,Fairfield,SC,
908,026-01-02-013-000,CURRENT RESIDENT,16401 STATE HWY 200 & 16423,Fairfield,SC,
909,026-02-01-004-000,CURRENT RESIDENT,AT CHESTER CO LINE HWY US 21,Fairfield,SC,
910,026-02-01-005-000,CURRENT RESIDENT,16684 US HIGHWAY 21,Fairfield,SC,
911,026-02-01-006-000,CURRENT RESIDENT,16658 US HWY 21 NORTH,Fairfield,SC,
912,038-00-00-003-000,CURRENT RESIDENT,9100FT N INT S-20-44 & DIRT RD 68,WS-Wateree,SC,
913,038-00-00-004-000,CURRENT RESIDENT,BOB PATRICK 1/2,WS-Wateree,SC,
914,039-00-00-008-000,CURRENT RESIDENT,BRICE NO X91-78-059-002,WS-Wateree,SC,
915,040-00-00-014-000,CURRENT RESIDENT,FAIRFIELD HILL ROAD,WS-Wateree,SC,
916,039-00-00-007-000,CURRENT RESIDENT,9000FT S INT S-20-321 & S-20-52 SW,WS-Wateree,SC,
917,039-00-00-004-000,CURRENT RESIDENT,OFF RD S-20-32,WS-Wateree,SC,
918,040-00-00-003-000,CURRENT RESIDENT,767 FAIRFIELD HILL ROAD,WS-Wateree,SC,
919,057-00-00-012-000,CURRENT RESIDENT,9500 STATE HWY 200,WS-Wateree,SC,
920,057-00-00-003-000,CURRENT RESIDENT,SC-200 & I-77,WS-Wateree,SC,
921,041-00-00-023-000,CURRENT RESIDENT,477 CAUGHMAN LANE,WS-Wateree,SC,
922,041-00-00-024-000,CURRENT RESIDENT,633 CAUGHMAN LANE,WS-Wateree,SC,
923,057-00-00-001-000,CURRENT RESIDENT,6510 PATRICK ROAD,WS-Wateree,SC,
924,040-00-00-011-000,CURRENT RESIDENT,2875` W INT I-77 & SC-200 N OF SC-2,WS-Wateree,SC,
925,040-00-00-006-000,CURRENT RESIDENT,358 FAIRFIELD HILL ROAD,WS-Wateree,SC,
926,040-00-00-005-000,CURRENT RESIDENT,501 FAIRFIELD HILL RD,WS-Wateree,SC,
927,040-00-00-009-000,CURRENT RESIDENT,10959 STATE HWY 200 TRUCK PLAZA,WS-Wateree,SC,
928,041-00-00-032-000,CURRENT RESIDENT,HOGFORK TRACT,WS-Wateree,SC,
929,058-00-00-002-000,CURRENT RESIDENT,10000FT S INT S-20-234 & S-20-55 52,WS-Wateree,SC,
930,042-00-00-032-000,CURRENT RESIDENT,MITFORD ASSN NO X91-77-049,WS-Wateree,SC,
931,042-00-00-038-000,CURRENT RESIDENT,CAMP WELFARE ROAD,WS-Wateree,SC,
932,042-00-00-039-000,CURRENT RESIDENT,7300FT S INT S-20-234 & S-20-55 W,WS-Wateree,SC,
933,042-00-00-033-000,CURRENT RESIDENT,6149 CAMP WELFARE ROAD,WS-Wateree,SC,
934,042-00-00-041-000,CURRENT RESIDENT,CAMP WELFARE ROAD,Fairfield,SC,
935,042-00-00-040-000,CURRENT RESIDENT,2400FT S INT HWY 21 & S- 20-55 5800,Fairfield,SC,
936,026-03-10-014-000,CURRENT RESIDENT,737 GIBSON END ROAD,Fairfield,SC,
937,026-02-01-008-000,CURRENT RESIDENT,16630 US HWY 21 NORTH,Fairfield,SC,
938,026-04-01-004-000,CURRENT RESIDENT,166 HILLSIDE CIRCLE,Fairfield,SC,
939,026-02-05-011-000,CURRENT RESIDENT,23 PEDAL DR,Fairfield,SC,
940,026-04-01-010-000,CURRENT RESIDENT,322 PEAY RIDGE RD,Fairfield,SC,
941,026-04-01-011-000,CURRENT RESIDENT,2000FT S OF S-20-268 & DIRT RD N,Fairfield,SC,
942,026-04-01-012-000,CURRENT RESIDENT,222 WRANGLER ROAD,Fairfield,SC,
943,026-04-01-016-000,CURRENT RESIDENT,1800FT S S-20-268 & DIRT RD N,Fairfield,SC,
944,026-04-01-017-000,CURRENT RESIDENT,OFF PEAY RIDGE RD RD,Fairfield,SC,
945,026-04-01-013-000,CURRENT RESIDENT,276 WRANGLER RD,Fairfield,SC,
946,026-02-05-009-000,CURRENT RESIDENT,78 PEDAL DR,Fairfield,SC,
947,026-04-01-007-000,CURRENT RESIDENT,300FT E INT HWY 21 & HWY S-20-268 4,Fairfield,SC,
948,104-00-02-017-000,CURRENT RESIDENT,S OF ARMSTRONG RD RD,WS-Jackson,SC,
949,104-00-02-019-000,CURRENT RESIDENT,3200 S OF INT S-20-409 & SC-34 S OF S-20,WS-Jackson,SC,
950,104-00-02-034-000,CURRENT RESIDENT,S OF ARMSTRONG RD RD,WS-Jackson,SC,
951,104-00-02-032-000,CURRENT RESIDENT,3200FT S INT S-20-409 & SC-34 1600,WS-Jackson,SC,
952,104-00-02-018-000,CURRENT RESIDENT,712 ARMSTRONG ROAD,WS-Jackson,SC,
953,104-00-02-097-000,CURRENT RESIDENT,4600FT SW OF INT S-20-38 & DIRT RD,WS-Jackson,SC,
954,096-03-00-041-000,CURRENT RESIDENT,1873 DEER RUN ROAD SEC 17 LOT 100,Fairfield,SC,
955,096-03-00-042-000,CURRENT RESIDENT,1891 DEER RUN ROAD SEC 17 LOT 97,Fairfield,SC,
956,096-03-00-043-000,CURRENT RESIDENT,1909 DEER RUN ROAD SEC 17 LOT 96,Fairfield,SC,
957,096-04-00-001-000,CURRENT RESIDENT,1919 DEER RUN ROAD SEC 17 LOTS 94 & 95,Fairfield,SC,
958,096-04-00-002-000,CURRENT RESIDENT,1931 DEER RUN ROAD SEC 17 LOT 93,Fairfield,SC,
959,096-04-00-003-000,CURRENT RESIDENT,1999 DEER RUN ROAD SEC 17 LOT 92,Fairfield,SC,
960,096-04-00-007-000,CURRENT RESIDENT,2069 DEER RUN ROAD SEC 17 LOT 87,Fairfield,SC,
